Theme,Total_Frequency,Example_Description,Universities_Covered
**Policy Alignment**,6,Reference to decisions made by comparator institutions and consistency with broader policy trends.,4
**Policy Development & Governance**,6,"Creation of clear course policies, rubrics, and alignment with Rutgers’ code of conduct.",2
**Policy Development & Revision**,6,"Activities related to creating, revising, and ratifying the integrity policy over time.",1
**Policy Development & Syllabus Language**,6,"Guides creation of a course‑specific AI policy, including recommended components and sample wording.",1
**Procurement & Approval**,6,Requirement to seek TTS approval before purchasing AI tools and ensuring appropriate privacy/security safeguards.,2
**Prohibited Content**,6,"Lists specific types of data (e.g., student names, IP, grant proposals) that must not be submitted to public AI tools, even if anonymized.",1
**Student Expectations & Communication**,6,Emphasizes clear syllabus language and early classroom discussion to set expectations about AI usage.,1
**Student Learning & Growth**,6,"Emphasis on intrinsic motivation, metacognition, growth mindset, and learning outcomes when using AI tools.",1
**Student Use of Generative AI**,6,"Discusses how students are already employing tools like ChatGPT for assignments, survey data, and projected growth.",1
**Teaching & Learning Aids**,6,"Platforms that provide lesson planning, feedback, or tutoring to students and instructors (e.g., Fetchy, Plaito, TutorAI, Socratic, Knowji, Laser AI).",1
**Transparency / Documentation**,6,"Students are required to credit LLMs, provide appendices of their exchanges, and explain how they used the tool.",1
**Unrestricted vs Restricted Use**,6,Distinguishing policies that allow all AI tools versus those that limit them to certain contexts.,1
Generative‑AI Limitations,6,"Repeatedly notes bias, blind spots, and lack of precision as key weaknesses of current AI systems.",1
**AI & Generative Tools**,5,"Overview of generative AI (ChatGPT, Bard, LLMs) and their capabilities.",1
**AI / Generative Tools**,5,"Discussion of ChatGPT, generative AI, and their role in education.",1
**AI Literacy & Critical Thinking**,5,"Building students’ ability to evaluate, interpret, and responsibly use AI outputs.",1
**AI Tool Use Guidelines**,5,Provides specific guidance on how students should handle tools like ChatGPT/Co‑Pilot and when it is safest to avoid them.,1
**Academic Dishonesty / Plagiarism**,5,"Definition of plagiarism as submitting AI‑generated content without proper attribution, tied to the university’s updated policy.",1
**Academic Integrity & Enforcement**,5,Covers how to handle suspected/confirmed misuse and the role of clear policy statements.,1
**Academic Integrity / Ethics**,5,"Emphasis on preventing dishonesty, citing AI usage, and upholding high ethical standards.",1
**Algorithmic Transparency & Explainability**,5,Notes the difficulty of understanding why an AI reaches a result and the lack of access to code (Loomis case).,1
**Approval & Safeguards**,5,"Requires review of any AI tool before it can handle non‑public data, ensuring contracts, safeguards, ethics, transparency, and benefit to IU.",1
**Archival Research & Data Sourcing**,5,"Highlights the use of original letters, professional statements, and other archival materials as training data.",1
**Assessment Design & Creativity**,5,"Encouragement to design assignments that require skills AI cannot easily replicate (creative thinking, problem‑solving).",1
**Assignment Design & Activities**,5,"Provides examples of how to incorporate or mitigate GenAI in research, brainstorming, writing, icebreakers, and critical‑thinking tasks.",1
**Assignment Design & Pedagogy**,5,"Recommendations from MLA‑CCCC to design assignments that foster intrinsic motivation, writing process steps, reflection, and testing against language models.",1
**Assignment Design Strategies**,5,"Provides three approaches (advising against, avoiding, integrating) and details on redesigning assignments to mitigate misuse.",1
**Best‑Practice Guidelines**,5,"Recommends using only public data, opting out of data learning, verifying results, citing sources, and maintaining transparency about AI use.",1
**Bias & Accuracy Review**,5,"Mandates review of AI‑generated content for bias, errors, and fact‑checking before use in decision‑making.",1
**Chatbot Guidance**,5,"Specific advice for faculty deploying student‑facing chatbots (purpose, safety, transparency).",1
**Communication & Clarification**,5,Advises students to communicate with instructors if they are unsure about policy or usage.,2
**Community & External Examples**,5,"References to other universities’ experiences, faculty opinions, and external articles.",1
**Compliance with Existing Policies**,5,"Reference to UC Berkeley’s Acceptable Use Policy, Principles of Community, and other institutional policies.",1
**Copyright / Intellectual Property**,5,Potential infringement when AI reuses copyrighted material and the need for proper citation.,1
**Course Design Interventions (Long‑Term)**,5,"Strategies to cultivate learner‑centered climates, reduce workload pressure, and make thinking visible.",1
**Data Classification Guidance**,5,"Specific mention of P2–P4 data, non‑public research, survey responses, etc., and how they affect AI use.",1
**Data Classification**,5,Rules about which data levels can be fed into generative‑AI tools and the need to refer to ECU’s classification scheme.,1
**Data Security & Classification**,5,"Guidance on handling high‑risk or sensitive data, ticketing procedures, contracts, and NIST trustworthy AI criteria.",1
**Departmental Autonomy**,5,"Grants departments authority to set GPA, exam attempts, assistantship retention, and dismissal criteria.",1
**Detection & Enforcement**,5,"Mentions AI detectors, their flaws, and the need for balanced enforcement versus teaching responsible use.",1
**Detection & Evidence**,5,"Lists methods for spotting AI use: misalignment, hallucinations, formulaic prose, AI‑detection tools, comparison with prior work.",1
**Detection Tools**,5,"Mention of AI‑detector services (Originality.AI, GPTZero, etc.) and their shortcomings.",1
**Educational Impact / Academic Integrity**,5,Mentions instructors’ authority to restrict AI use in student work and the need for clear expectations and disciplinary consequences.,1
**Equity & Access**,5,Stresses equal access to AI tools for all students in instructional settings.,2
**Ethical Considerations**,5,"Discusses the need to verify outputs, potential hallucinations, and bias in AI responses.",3
**Ethical Guidelines from Other Institutions**,5,References external university guidelines to reinforce ethical AI use on campus.,1
**Ethical Use & Responsible Practice**,5,"Calls for ethical handling of AI outputs, acknowledging biases, hallucinations, and responsible integration into learning.",1
**Ethical Use Guidelines**,5,"Staff are instructed to use AI only in ways that support learning, such as creating practice questions or lesson outlines, and must cite the tool used.",1
**Ethics & Principles**,5,"Reference to shared principles, ethical discernment, human judgment, empathy, and the UN statement guiding responsible use.",1
**Ethics / Impact Considerations**,5,"References to privacy, bias, environmental impact, disinformation, equity, and IP issues surrounding generative AI.",1
**Examples / Case Studies**,5,Concrete course examples illustrating how different disciplines might apply the policy.,1
**Fabrication / Misrepresentation**,5,Making false statements or providing false excuses to faculty.,1
**Faculty Guidance & Syllabus Statements**,5,"Provides sample statements for faculty to include in syllabi or course sites, and discusses how to communicate policy.",1
**Faculty Policy & Expectations**,5,Faculty must state in syllabi or assignments whether AI is allowed and how it may be used; expectations vary by course.,1
**Faculty Resources & Training**,5,"Availability of web resources, conversations, and chat series to help faculty explore AI in courses.",1
**Faculty Resources & Tutorials**,5,"Links to videos, guides, and advanced prompts for instructors.",1
**Faculty decision‑making**,5,"Guidance on how faculty should evaluate and incorporate AI into course design, materials, and instruction.",1
**Generative‑AI Focus**,5,"Emphasis on tools like ChatGPT, Bard, Bing Chat, DALL‑E 3 that generate content (text, images, video).",1
**Governance & Approval**,5,Requires vendor‑developed AI tools to be approved by the Administrative Technology Governance committee and IT security review.,1
**Governance Bodies (Task Force / Council)**,5,"Reference to the Academic Task Force, Integrity Council, and their roles in interpretation and implementation.",1
**Human Decision‑Making vs. AI Substitution**,5,Argues that some decisions should remain human‑only and warns against overreliance on AI predictions.,1
**Information Security / Privacy**,5,"Emphasizes that uploaded data becomes public, urges secure handling of AI tools, and highlights campus security reviews.",1
**Information Security**,5,Guidance on protecting MIT’s proprietary and confidential data when using generative‑AI tools.,1
**Institutional/Legal Compliance**,5,"Reference to university plagiarism policy, copyright laws, and disciplinary procedures.",1
**Instructor & Syllabus Guidance**,5,Students are required to seek explicit permission from instructors and consult syllabi before using AI tools for coursework.,1
**Instructor Autonomy / Customization**,5,Instructors are encouraged to craft individualized syllabi statements reflecting their own stance on AI.,1
**Instructor Guidance / Best Practices**,5,"Instructors are encouraged to use traditional assessment methods, provide clear syllabus instructions, and offer alternatives for students uncomfortable with AI tools.",1
**Instructor Strategies (Embrace / Enhance vs. Discourage / Detect)**,5,"Presents two contrasting approaches to handling AI in the classroom, with concrete tactics for each.",1
**Instructor communication**,5,Guidance on when and how to discuss AI use with faculty before assignments.,1
**Learning & Assessment Design**,5,"Discusses using GAI to design lessons, assignments, and assessments while maintaining learning objectives.",1
**Learning Outcomes & Skill Development**,5,"Emphasis on doing work yourself to achieve learning objectives, especially for graded assignments.",1
**Limitations of GenAI**,5,"Discussion of misinformation, bias, fake citations, calculation errors, and lack of originality.",1
**Meeting & Operations Use**,5,"Rules for using AI in meetings (consent, note‑taking, confidentiality) and handling generated summaries.",1
**Multimodal & Creative Assignments**,5,"Use of sound, images, video, podcasts, or explainer videos to resist AI replication.",1
**Opportunities & Benefits**,5,"Discussion of the potential gains from AI – faster workflows, deeper audience insights, personalized messaging.",1
**Pedagogical Rationale**,5,Explanation of why the policy exists and how it supports learning goals.,1
**Pedagogical Resources & Support**,5,"Mentions of AIPP, metaLAB, Bok Center, Teaching at FAS, and other toolkits that help faculty design AI‑aware instruction.",1
**Personalization & Contextual Writing**,5,"Encouraging personal response essays, class‑specific references, and current events to make work unique.",1
**Plagiarism & Academic Integrity**,5,"Repeated references to whether AI use constitutes plagiarism, reminders about proper citation, and concerns over false positives in detection.",1
**Plagiarism / Copyright Protection**,5,"Guidance to avoid copying copyrighted material, review outputs for originality, and modify as needed.",1
**Policy & Regulation Alignment**,5,"References to existing university policies (e.g., FERPA, copyright, academic integrity).",1
**Policy Alignment / Guidance**,5,"Lists related university policies (Acceptable Use, Data Classification, Information Security, etc.) that support AI governance and decision‑making.",1
**Policy Evolution / Living Document**,5,"Statement that the guidelines are dynamic, subject to change with technology, legal review, and other policies.",1
**Policy Implementation & Guidance**,5,"Practical steps for departments to adopt the policy (clear expectations, low‑stakes practice, revisions).",1
**Policy Status & Evolution**,5,"Clarifies that this is a living, non‑binding guidance document subject to future updates and collaboration.",1
**Popular Platforms**,5,"Lists specific tools (ChatGPT, Claude, DALL‑E, Co‑Pilot, Gemini, Studybuddy.gg) and their characteristics.",1
**Privacy & Security Risks**,5,"Discussion of the dangers of sharing sensitive data with AI models, potential negative consequences, and guidance on protecting personal information.",1
**Privacy & Security**,5,Warning against sharing personal data with AI tools to avoid privacy risks.,3
**Prohibited Use – Legal & IP Violations**,5,"Restrictions against using AI to infringe copyright, patents, or facilitate illegal activities.",1
**Prohibited Use – Sensitive Data**,5,"Explicit bans on entering any sensitive, restricted, or protected data (e.g., student grades, employee performance, IP under review).",1
**Publisher Policies on AI**,5,"Lists and summarizes the current stances of major publishers (Elsevier, IEEE, OpenAI, AAAS, Springer‑Nature) regarding AI‑generated content.",1
**Quality Control / Human Oversight**,5,"Repeated calls for reviewing AI‑generated content to ensure brand voice, accuracy, and quality standards.",1
**Reflection & Decision‑Making**,5,"Encourages students to consider bans, allowed uses, disclosure, and policy communication.",1
**Resources & Professional Development**,5,"Lists citation guides, prompt engineering tools, webinars, and clearinghouses to help instructors learn about GenAI and integrate it responsibly.",1
**Responsibility & Alignment with Learning Goals**,5,"Instructors must link AI use policies directly to what they want students to learn, avoiding blanket bans that conflict with course outcomes.",1
**Responsible / Ethical Use Principles**,5,"Provides a set of principles (think for yourself, open disclosure, evaluate bias, take responsibility) guiding how faculty and students should interact with AI.",1
**Responsible Use / Ethics**,5,"Promotes ethical attitudes toward AI, including fact‑checking, bias awareness, IP concerns, and data privacy.",1
**Risk Management & Ethical Concerns**,5,"Discussion of bias, transparency, misuse, inequality, and other pitfalls.",1
**Sensitive Data Handling (PII/PHI)**,5,Explicit prohibition on uploading personally identifiable or protected health information to external AI platforms.,1
**Skill Building & Learning Enhancement**,5,The policy frames LLM use as a means to deepen subject‑matter understanding and support skill development rather than replace it.,1
**Skill Development Focus**,5,"Emphasis on developing specific skills (writing voice, critical thinking, responsible AI use).",1
**Stakeholder Engagement**,5,"Explicit mention of UIC & University of Illinois System IT Security, Privacy, Risk Leadership involvement.",2
**Student Behavior & Misconduct Cases**,5,"Reference to real or hypothetical cases of cheating, shortcuts, and AI‑related infractions.",1
**Student Engagement & Expectations**,5,"Advises setting clear syllabus language, citing AI use, and discussing risks of over‑reliance.",1
**Student Expectations**,5,Emphasis on clear articulation of allowed/disallowed uses early in the term.,1
**Student Responsibility & Critical Evaluation**,5,"Students are responsible for verifying the accuracy of AI outputs, citing them properly, and ensuring they do not violate intellectual‑property or non‑public‑research rules.",1
**Student Responsibility & Critical Thinking**,5,"Students must verify AI outputs, cite properly, and critically assess bias.",1
**Student Responsibility & Integrity**,5,"Expectations that students ensure accuracy, originality, and personal voice.",1
**Student Support & Equity**,5,"How AI tools may affect students differently (e.g., language learners, resource‑limited students) and the university’s commitment to inclusion.",1
**Student‑Faculty Communication**,5,"Emphasis on open, trust‑based dialogue with students about AI tools, learning goals, and policy rationale.",1
**Syllabus Governance**,5,"Requires faculty to document GAI policy in the course syllabus, with departmental/college approval.",1
**Syllabus Statements & Instructor Guidance**,5,"Endorsement of draft syllabus statements, recommendation that all instructors adopt one, and discussion of expectations on the first day of class.",1
**Syllabus Statements & Policy Language**,5,"Templates and examples for embedding AI rules into course syllabi, including prohibited/allowed/encouraged language.",1
**Teaching Integration & Pedagogy**,5,Provides guidance for instructors on how to incorporate AI responsibly and inform students.,1
**Technology Tools (Gradescope)**,5,Detailed description of how Gradescope can replace paper exams while maintaining grading efficiency is included.,1
**Tool‑Specific Usage Policies**,5,"Distinguishes general‑use tools vs. building‑with‑AI platforms, level‑based permissions, and software request forms.",1
**Transparency & Academic Integrity**,5,Requires clear disclosure of AI use in student work and adherence to plagiarism rules.,1
**Transparency & Attribution**,5,Students must acknowledge AI assistance and properly attribute any AI‑derived material.,1
**Use & Policy Guidance**,5,"Instructors are urged to communicate AI usage rules via syllabi, provide sample statements, and reference university resources for policy implementation.",1
**User Guidance & Best Practices**,5,"Practical steps for safe use: strong passwords, access control, not sharing credentials, and using secure coding practices.",1
**Vendor & Licensing Management**,5,"Advice to consult IS&T before purchasing, use licensed tools, and review vendor agreements.",1
AI‑Tool Policy,5,"Guidance on when and how AI tools may be used, referencing ChatGPT and institutional policy documents.",1
Data & Privacy Protection,5,"Emphasizes safeguarding confidential, personal, or regulated data when using open vs. restricted GenAI services.",1
Misconduct Types,5,"Specific behaviors (cheating, facilitation, fabrication, unauthorized collaboration, plagiarism) that violate the policy.",1
Teaching Skepticism,5,Suggests “punching holes” in AI claims to foster critical thinking about its capabilities.,1
**AI & LLM Basics**,4,Explanation of what AI and large language models are and their capabilities.,1
**AI Adoption / Institutional Use**,4,"Discussion of how the university’s IDD office and staff are experimenting with ChatGPT for course design, content creation, and support tools.",1
**AI Detection & False Positives**,4,Discussion of current detection tools’ limitations and recommended procedures.,1
**AI Detection & Reliability**,4,"Discussion of detection tools, their limitations, and alternative strategies for instructors.",1
**AI Detection Tools & Limitations**,4,"Lists available detection software, notes their weaknesses, and suggests alternative checks.",1
**AI Literacy & Citation**,4,"Emphasis on teaching students how to cite AI outputs, understand hallucinations, bias, and verify sources.",1
**AI Overview**,4,General description of ChatGPT’s capabilities and purpose.,1
**AI Policy Governance**,4,"The memo outlines how the university will govern generative‑AI use in courses, including faculty discretion and administrative review of a working‑group report.",1
**AI Risks**,4,"Discusses potential data breaches, hallucinations, and misuse of copyrighted or proprietary data by generative AI tools.",1
**AI Tool Usage**,4,Mentions the use of AI tools such as ChatGPT to assist with work.,1
**AI Usage / ChatGPT**,4,"Addresses the use of artificial intelligence tools (e.g., ChatGPT) by students on assignments without instructor approval.",1
**AI Usage Scope**,4,"Defines who and when AI tools may be used in the workplace (employees, contractors, device type).",1
**AI Use Policy – Variants**,4,"Four distinct AI‑use templates (Assistive Only, Select Generative & Assistive, All Allowed, None Allowed) outlining permissible/forbidden AI tools and citation requirements.",1
**AI in Research & Writing**,4,"Discusses how generative‑AI tools can be used to conduct or write up research, noting the lack of institutional policy.",1
**AI in Teaching**,4,Discusses whether and how to incorporate generative AI into courses.,1
**AI‑Enabled Teaching**,4,Guidance on how instructors can incorporate or deter AI in course design and materials.,1
**Academic Integrity & Communication**,4,Advises students to align AI use with academic‑integrity policies and to discuss usage with instructors before coursework.,1
**Academic Integrity & Standards**,4,"References to maintaining integrity, standards, and compliance in teaching, assessment, and research when using AI tools.",1
**Academic Integrity / Cheating Prevention**,4,"Explicit rules prohibit LLM use on in‑class exams/tests unless the activity is explicitly designed around an LLM, and penalties are set for low‑effort reuse.",1
**Academic Integrity / Conduct**,4,Reference to UC Davis Code of Academic Conduct and rules about not using GenAI for assignments/exams.,2
**Academic Integrity / Detection**,4,Use of Turnitin/AI‑detector to uphold student honesty.,1
**Academic Integrity Framework**,4,"The policy ties suspected AI misuse to the existing academic integrity process (consultative resolution, preponderance standard).",1
**Acceptable Use**,4,"Defines what constitutes proper use of university IT resources for academic, research, administrative and business purposes.",1
**Accuracy & Hallucinations**,4,Warns that AI can produce inaccurate (“hallucinated”) outputs; users must verify facts and cite the tool appropriately.,1
**Artificial Intelligence (AI)**,4,"Discussion of AI’s evolution, current “awakening” period, and its applications.",1
**Assessment & Grading Practices**,4,"Guidance on how to assess work when AI is involved, including the use of vetted tools like GradeScope and diverse rubrics.",1
**Assessment Design & Pedagogy**,4,"Recommends specific assignment structures (e.g., drafts, oral presentations, nuanced questions) that work regardless of the chosen strategy.",1
**Assessment Design / Adaptation**,4,"Strategies for redesigning assignments (scaffolding, process‑oriented tasks, multimedia) to mitigate AI misuse.",1
**Assessment Design / Pedagogy**,4,"The text highlights challenges to assessment design, offers tips on redesigning assignments, and includes resources on course‑design strategies that incorporate or mitigate AI use.",1
**Assessment Strategy**,4,"Re‑examining or redesigning assessments (e.g., writing samples, oral presentations) to align with learning outcomes.",1
**Authentic / Real‑World Assignments**,4,Advocates designing assignments that mirror professional practice and can incorporate AI tools meaningfully.,1
**Beneficial/Mission‑Aligned Use**,4,AI should enhance learning and advance UCR’s instructional mission with an equity focus.,1
**Benefits of AI for Learning**,4,"Highlights specific classroom activities where AI can enhance learning outcomes (practice cases, quizzes, feedback).",1
**Best‑Practice Checklist**,4,"Explicit list of do’s and don’ts for using GPT tools (e.g., never submit passwords).",1
**Bias & Equity**,4,"The policy repeatedly stresses the need to identify and mitigate bias in AI models, especially toward the African Diaspora.",1
**Cheating / Misuse**,4,Stating that unpermitted use of external work (including AI) is cheating.,1
**Class‑room vs. Graded Work Distinction**,4,Some examples differentiate between in‑class AI exercises and graded submissions.,1
**Collaboration & Norms**,4,"Guidance on when collaboration is appropriate, how AI tools fit into disciplinary norms, and the importance of understanding limits and proper use.",1
**Collaboration / Multidisciplinary Approach**,4,"Calls for joint effort among faculty, IT, researchers, students, and other stakeholders to shape AI use.",1
**Collusion / Collaboration**,4,Working with another person on individual assignments without permission.,1
**Communication & Expectations**,4,"Advice on setting clear guidelines with students, syllabus inclusion, and discussion of purpose.",1
**Communication with Instructors**,4,Advice on when and how to discuss AI plans with faculty before starting work.,1
**Community & Collaboration**,4,"Formation of the AI Roundtable Council/Advisory Council to bring together faculty, staff, and students to discuss AI issues.",1
**Compliance & Approval Procedures**,4,"Requires any AI tool acquisition to follow the university’s Software & IT Services Approval Policy, ensuring legal and technical vetting.",1
**Compliance & Regulation (PII)**,4,"Reference to applicable laws (FIPA, FERPA, HIPAA, COPPA, GDPR, EU AI Act) and the need to comply when handling personally identifiable information.",1
**Compliance with Laws & Policies**,4,"Highlights adherence to applicable laws, privacy regulations, and university IT policies (series 900).",1
**Confidentiality & Data Sharing**,4,Emphasis on the need for appropriate protections before sharing any data with outside AI entities.,1
**Confidentiality & Due Process**,4,Protecting privacy during investigations and informing students of rights.,1
**Cybersecurity Threat Landscape**,4,"Discusses the growing cost and sophistication of cyber attacks, including AI‑enabled tactics.",1
**Data Classification & Approval**,4,"Reference to Northwestern’s Data Classification Policy, Level 1/2/3 rules, and procurement/security review requirements.",1
**Data Classification & Security**,4,Emphasis on how data are classified (University‑Internal vs public) and the need to follow a Data Classification Matrix when using AI tools.,1
**Data Governance / Privacy**,4,"Rules for handling protected data, anonymization, encryption, and accurate record‑keeping.",1
**Data Privacy & Ethics**,4,"Emphasis on protecting personal data, complying with regulations, and maintaining transparency in AI usage.",1
**Data Privacy / Personal Data Protection**,4,"References to FERPA, HIPAA, Massachusetts Data Protection Standards, and handling of personally identifiable information.",1
**Definition & Scope of Generative AI**,4,"Explains what generative AI is (text, image, code, etc.) and its capabilities.",1
**Definition / Scope of AI**,4,"A brief technical definition of AI and a discussion of what constitutes “use” (e.g., text creation, image generation, etc.).",1
**Detection & Enforcement Limitations**,4,Discussion of the unreliability of AI‑detector software (false positives/negatives) and alternative enforcement methods.,1
**Detection & Proctoring Technology**,4,"Discussion of detection tools, their limitations, and the university’s stance on providing such tech for exams.",1
**Deterrence Tools & Strategies**,4,"Mention of Respondus LockDown Browser, Turnitin’s AI detection plans, and general approaches to make ChatGPT use difficult.",1
**Due Process / Sanctions**,4,"Rules about grade penalties, referral to the dean, and OAI’s role in disciplinary actions.",1
**Equity & Accessibility**,4,Highlights digital equity gaps (paid vs free tiers) and calls for inclusive language in policies.,1
**Ethical & Privacy Concerns**,4,Brief references to external resources on the ethical implications of AI tools.,2
**Ethical Conduct**,4,"Mandates that all AI use must align with Northeastern’s Code of Ethical Conduct, appropriate use policy, and avoid defamatory or discriminatory content.",1
**Ethical Modeling & Faculty Role**,4,Emphasizes faculty as role models; students mirror instructor attitudes toward ethical AI use.,1
**Ethical Use / Non‑Discrimination**,4,"Prohibits creation of inappropriate, discriminatory, deceptive or harmful content; aligns with university’s conduct policies.",1
**Ethical Use**,4,Guidance on using GenAI responsibly and with integrity in academic work.,1
**Ethics of Practice / Responsible Use**,4,"Encouragement to teach students ethical, responsible use of generative‑AI rather than outright bans, with examples and resources.",1
**Events & Engagement**,4,"Specific events (ATL conversation, Fireside Chat) scheduled for discussion and engagement on AI topics.",1
**External vs Internal AI Platforms**,4,Caution against using external AI services that may lack the same security/privacy controls as university‑managed systems.,1
**Faculty Competency & Training**,4,"Initiatives to build faculty skills (AI Teaching Fellows, programming needs, support structures).",1
**Faculty Concerns & Questions**,4,"Faculty worries about originality, banning tools, citation, and learning benefits.",1
**Faculty Development / Collaboration**,4,"Encourages instructors to learn about AI, share best practices, and align standards with peers.",1
**Faculty Discretion & Course Policy**,4,"Faculty decide when and how to use AI, set clear boundaries for students.",1
**Faculty Discretion & Decision‑Making**,4,Faculty are empowered to set their own policies regarding AI use.,1
**Faculty Guidance & Syllabus Language**,4,"Encourages faculty to develop clear syllabus statements, share expectations, and collaborate on policy updates.",1
**Faculty Involvement**,4,"Faculty Advisory Committee (FAC) drives the initiative, crafting guidelines and engaging faculty leaders.",1
**Fairness & Equity Goals**,4,"Frames AI use in terms of improving fairness, equity, and reducing bias in society.",1
**Free Access Tier**,4,Emphasis on tools that are free or have a significant free usage level for Temple users.,1
**Future‑Ready Workforce Preparation**,4,"Frames AI literacy as essential for students’ future careers in diverse fields, urging instructors to discuss real‑world applications of AI.",1
**Generative AI Basics**,4,"Overview of what generative AI is, its core technologies (deep learning, LLMs) and common examples.",1
**Generative AI Fundamentals**,4,"Explains what generative AI is, its core technologies (deep learning, neural networks), and typical outputs.",1
**Generative AI Tools**,4,"Overview of what generative AI tools are and how they work (text, images, music, video).",1
**Generative AI risk**,4,"Highlights that any input to generative AI becomes part of its database and can be exposed publicly, underscoring the immediate danger of using such tools with sensitive data.",1
**Generative AI tools**,4,"Reference to chat, image, audio, video AI services (ChatGPT, Bard, Claude, etc.) and their growing presence in everyday software.",1
**Governance & Oversight**,4,"Creation of a task force, sub‑committees, and leadership engagement to guide AI integration.",1
**Grading & Accountability**,4,"Roles of instructors, TAs, and AI in grading; need for explainable, defensible grades.",1
**Guidance & Support Resources**,4,"Reference to specific EVPAA documents (principles, awareness, guidance for students/instructors).",1
**Guidelines / Reporting**,4,The task force will produce a report to inform future university guidelines on AI usage.,1
**Hearing Procedures & Evidence**,4,"Scheduling, evidence review, rights to be heard, record keeping during hearings.",1
**Honor Code**,4,"The policy frames AI use in the context of Stanford’s Honor Code, clarifying what is permissible and what constitutes a breach.",2
**Honor System Framework**,4,Frames the entire discussion within the university’s existing honor system structure.,1
**Human‑in‑the‑Loop & Accountability**,4,"Employees must review AI output, cite its use, and remain responsible for the final work.",1
**Institutional Approach & Policy**,4,"Describes DePaul’s stance on AI: learning, responsible use, integrity, and preparing students for an AI‑enabled workforce.",1
**Institution‑Specific Tool Offerings**,4,"Reference to U‑M’s own vetted GenAI tools (U‑M GPT, Maizey, GPT Toolkit) and their security guarantees.",1
**Instructor Approval**,4,Students must obtain written permission or a syllabus from their instructor before using any AI platform for academic work.,1
**Instructor Control & Approval**,4,"Outlines that instructors can permit or forbid AI use, and that permission is required for certain assignments.",1
**Instructor Responsibilities**,4,"Instructions for professors on setting policies, communicating them, and monitoring compliance.",1
**Instructor Responsibility & Expectations**,4,"Professors must set clear expectations, communicate policies, and adapt language to their course.",1
**Instructor Role & Guidance**,4,"Stresses the instructor’s duty to discuss AI use, experiment incrementally, and provide critical frameworks.",1
**Intellectual Property (IP) Risk**,4,"Discussion of potential infringement, lack of IP protection for AI outputs, and the need to read EULA/Terms of Use.",1
**Intellectual Property (IP) Risks**,4,Warnings about potential copyright infringement and loss of IP when using LLMs.,1
**Learning Goals Alignment**,4,Repeatedly stresses that any AI policy must support the intended learning outcomes of a course or assignment.,1
**Learning Impact / Value**,4,Explaining why limits are set based on learning outcomes and potential negative effects.,1
**Learning Outcomes Alignment**,4,Emphasis on linking AI permissions or prohibitions to specific learning outcomes and assessment design.,2
**Legal & Regulatory Obligations**,4,"Mentions compliance with federal/state laws, licenses, contracts, copyright prohibitions, and the need to report violations.",1
**Legal / Regulatory Compliance**,4,"Mentions FERPA, health information, HR records, and OpenAI’s usage policy prohibitions (e.g., hate speech, fraud).",1
**Limitations / Accuracy of AI**,4,"Notes that ChatGPT can produce incorrect, biased, or fabricated citations and lacks up‑to‑date information.",1
**Limited/Conditional Use**,4,"Permissions granted only for specific activities (brainstorming, research, outlines, grammar checks) while disallowing others (writing drafts, full papers).",1
**Meeting Transcripts & Summaries**,4,"Rules around using AI for meeting notes, handling of public records requests, setting tool settings, and removing unauthorized assistants.",1
**Mental Health / Instructor Well‑Being**,4,Advice on not taking misconduct personally and maintaining instructor resilience.,1
**Mentorship & Guidance**,4,"Faculty should act as mentors, helping students decide when AI is acceptable and encouraging questions before submission.",1
**Misinformation & Hallucinations**,4,"Discussion of how generative AIs can produce untruthful content, fabricate citations, and require additional scrutiny.",1
**Open‑Minded Future Orientation**,4,"Encouragement to view AI as a dynamic opportunity, avoid complacency, and stay competitive.",1
**Operational Context (Public vs Private AI)**,4,"Distinguishes between public generative AI tools and private, internally hosted models, applying similar restrictions to both.",1
**Original Data Collection & Analysis**,4,"Requiring students to gather their own data (interviews, fieldwork, archival research).",1
**Pedagogical Applications**,4,"Covers how to integrate generative AI into teaching, including syllabus design, course activities, student work, and instructional materials.",1
**Pedagogical Integration & Faculty Guidance**,4,"Offers strategies for faculty to discuss AI with students, set course policies, and design assignments that incorporate or guard against AI tools.",1
**Pedagogy / Assignment Design**,4,"Strategies for designing assignments that resist easy AI completion (higher‑order thinking, project‑based work, staged tasks).",1
**Pedagogy / Instructional Design**,4,"How AI can be used as a pedagogical tool (idea generation, grammar checking, study‑buddy) and how it affects learning outcomes.",1
**Pitfalls & dangers**,4,"Broad category covering negative impacts, hallucinations, bias, privacy, IP, etc.",1
**Plagiarism & Self‑plagiarism**,4,Claims credit for another’s work or reuses one’s own work without permission.,1
**Policy Approaches**,4,"The document outlines four distinct ways a course can handle AI tools: prohibit all use, allow with prior permission, allow with acknowledgement, or freely permit.",1
**Policy Clarity & Flexibility**,4,"Encourages instructors to craft distinct policies for GenAI *process* vs *product*, adapt them per discipline/course, and provide opt‑out alternatives when required.",1
**Policy Compliance & Alignment**,4,"Requirement that GenAI usage aligns with existing university policies (security, harassment, discrimination, etc.).",1
**Policy Guidance & Expectations**,4,"Instructions to instructors on how to state policies in syllabi, adjust assignments, and clarify allowable use of AI tools.",1
**Policy Integration / Applicability**,4,"References to existing university policies (workplace behavior, IT services) that still apply when using AI.",1
**Privacy & Data Collection**,4,Guidance on reviewing AI tools’ privacy policies and data‑handling practices for both students and faculty.,1
